snapshot,kingdom,basisOfRecord,occurrenceCount
4/1/10,5,LITERATURE,387
4/1/10,5,LIVING_SPECIMEN,100593
4/1/10,5,OBSERVATION,699618
4/1/10,5,PRESERVED_SPECIMEN,2031038
4/1/10,5,UNKNOWN,491025
4/1/10,6,FOSSIL_SPECIMEN,90677
4/1/10,6,HUMAN_OBSERVATION,2127444
4/1/10,6,LITERATURE,48686
4/1/10,6,LIVING_SPECIMEN,352086
4/1/10,6,OBSERVATION,26084311
4/1/10,6,PRESERVED_SPECIMEN,18747739
4/1/10,6,UNKNOWN,16485645
4/1/10,7,FOSSIL_SPECIMEN,531
4/1/10,7,HUMAN_OBSERVATION,723
4/1/10,7,LIVING_SPECIMEN,2565
4/1/10,7,OBSERVATION,123278
4/1/10,7,PRESERVED_SPECIMEN,206275
4/1/10,7,UNKNOWN,10881
4/1/10,8,FOSSIL_SPECIMEN,1
4/1/10,8,LIVING_SPECIMEN,214
4/1/10,8,UNKNOWN,564
7/26/10,0,FOSSIL_SPECIMEN,39721
7/26/10,0,HUMAN_OBSERVATION,47228
7/26/10,0,LITERATURE,74091
7/26/10,0,LIVING_SPECIMEN,1210
7/26/10,0,OBSERVATION,374301
7/26/10,0,PRESERVED_SPECIMEN,286784
7/26/10,0,UNKNOWN,297465
7/26/10,1,FOSSIL_SPECIMEN,742164
7/26/10,1,HUMAN_OBSERVATION,582776
7/26/10,1,LITERATURE,139114
7/26/10,1,LIVING_SPECIMEN,1552
7/26/10,1,OBSERVATION,88853266
7/26/10,1,PRESERVED_SPECIMEN,27611515
7/26/10,1,UNKNOWN,13460509
7/26/10,2,LIVING_SPECIMEN,400
7/26/10,2,PRESERVED_SPECIMEN,459
7/26/10,2,UNKNOWN,134
7/26/10,3,FOSSIL_SPECIMEN,649
7/26/10,3,HUMAN_OBSERVATION,895
7/26/10,3,LIVING_SPECIMEN,29062
7/26/10,3,OBSERVATION,33173
7/26/10,3,PRESERVED_SPECIMEN,72645
7/26/10,3,UNKNOWN,57186
7/26/10,4,FOSSIL_SPECIMEN,46955
7/26/10,4,HUMAN_OBSERVATION,974340
7/26/10,4,LITERATURE,46
7/26/10,4,LIVING_SPECIMEN,3763
7/26/10,4,OBSERVATION,1696322
7/26/10,4,PRESERVED_SPECIMEN,177677
7/26/10,4,UNKNOWN,327921
7/26/10,5,FOSSIL_SPECIMEN,275
7/26/10,5,HUMAN_OBSERVATION,19115
7/26/10,5,LITERATURE,1108
7/26/10,5,LIVING_SPECIMEN,100593
7/26/10,5,OBSERVATION,700565
7/26/10,5,PRESERVED_SPECIMEN,1984635
7/26/10,5,UNKNOWN,494633
7/26/10,6,FOSSIL_SPECIMEN,90947
7/26/10,6,HUMAN_OBSERVATION,2203312
7/26/10,6,LITERATURE,49429
7/26/10,6,LIVING_SPECIMEN,354956
7/26/10,6,OBSERVATION,26149578
7/26/10,6,PRESERVED_SPECIMEN,19140299
7/26/10,6,UNKNOWN,17176937
7/26/10,7,FOSSIL_SPECIMEN,531
7/26/10,7,HUMAN_OBSERVATION,755
7/26/10,7,LIVING_SPECIMEN,2565
7/26/10,7,OBSERVATION,123278
7/26/10,7,PRESERVED_SPECIMEN,205644
7/26/10,7,UNKNOWN,12635
7/26/10,8,FOSSIL_SPECIMEN,1
7/26/10,8,LIVING_SPECIMEN,214
7/26/10,8,UNKNOWN,564
11/17/10,0,FOSSIL_SPECIMEN,40427
11/17/10,0,HUMAN_OBSERVATION,54604
11/17/10,0,LITERATURE,74089
11/17/10,0,LIVING_SPECIMEN,1223
11/17/10,0,OBSERVATION,366056
11/17/10,0,PRESERVED_SPECIMEN,216208
11/17/10,0,UNKNOWN,735426
11/17/10,1,FOSSIL_SPECIMEN,912832
11/17/10,1,HUMAN_OBSERVATION,6331108
11/17/10,1,LITERATURE,149792
11/17/10,1,LIVING_SPECIMEN,1548
11/17/10,1,OBSERVATION,112115495
11/17/10,1,PRESERVED_SPECIMEN,30888097
11/17/10,1,UNKNOWN,23691732
11/17/10,2,LIVING_SPECIMEN,403
11/17/10,2,PRESERVED_SPECIMEN,462
11/17/10,2,UNKNOWN,26568
11/17/10,3,FOSSIL_SPECIMEN,652
11/17/10,3,HUMAN_OBSERVATION,1081
11/17/10,3,LIVING_SPECIMEN,29283
11/17/10,3,OBSERVATION,32950
11/17/10,3,PRESERVED_SPECIMEN,126512
11/17/10,3,UNKNOWN,1411029
11/17/10,4,FOSSIL_SPECIMEN,65297
11/17/10,4,HUMAN_OBSERVATION,1223257
11/17/10,4,LITERATURE,46
11/17/10,4,LIVING_SPECIMEN,3778
11/17/10,4,OBSERVATION,1663535
11/17/10,4,PRESERVED_SPECIMEN,225022
11/17/10,4,UNKNOWN,551283
11/17/10,5,FOSSIL_SPECIMEN,305
11/17/10,5,HUMAN_OBSERVATION,89706
11/17/10,5,LITERATURE,1117
11/17/10,5,LIVING_SPECIMEN,101046
11/17/10,5,OBSERVATION,674462
11/17/10,5,PRESERVED_SPECIMEN,2085555
11/17/10,5,UNKNOWN,1583492
11/17/10,6,FOSSIL_SPECIMEN,499391
11/17/10,6,HUMAN_OBSERVATION,3105193
11/17/10,6,LITERATURE,49477
11/17/10,6,LIVING_SPECIMEN,358240
11/17/10,6,OBSERVATION,25898581
11/17/10,6,PRESERVED_SPECIMEN,22016757
11/17/10,6,UNKNOWN,31508782
11/17/10,7,FOSSIL_SPECIMEN,623
11/17/10,7,HUMAN_OBSERVATION,13598
11/17/10,7,LIVING_SPECIMEN,2565
11/17/10,7,OBSERVATION,140906
